Year,Month,Day,Hour,PM2.5
2017,11,26,3,115.64
2017,11,26,4,121.76
2017,11,26,5,113.76
2017,11,26,6,110.03
2017,11,26,7,103.83
2017,11,26,8,94.15
2017,11,26,9,75.74
2017,11,26,10,69.5
2017,11,26,11,65.52
2017,11,26,12,64.68
2017,11,26,13,73.34
2017,11,26,14,95.86
2017,11,26,15,117.45
2017,11,26,16,136.75
2017,11,26,17,140.07
2017,11,26,18,133.02
2017,11,26,19,128.78
2017,11,26,20,116.71
2017,11,26,21,107.26
2017,11,26,22,98.95
2017,11,26,23,95.13
2017,11,27,0,90.67
2017,11,27,1,91.57
2017,11,27,2,88.61
2017,11,27,3,105.2
2017,11,27,4,116.2
2017,11,27,5,117.48
2017,11,27,6,107.66
2017,11,27,7,97.27
2017,11,27,8,83.87
2017,11,27,9,74.58
2017,11,27,10,70.1
2017,11,27,11,64.7
2017,11,27,12,66.98
2017,11,27,13,75.92
2017,11,27,14,100.99
2017,11,27,15,117.66
2017,11,27,17,140.07
2017,11,27,19,136.31
2017,11,27,20,129.04
2017,11,27,21,121.18
2017,11,27,22,107.53
2017,11,27,23,109.74
2017,11,28,0,101.91
2017,11,28,1,95.83
2017,11,28,2,95.08
2017,11,28,3,111.67
2017,11,28,4,123.48
2017,11,28,5,121.63
2017,11,28,6,113.15
2017,11,28,8,81.06
2017,11,28,9,67.36
2017,11,28,10,60.98
2017,11,28,11,58.84
2017,11,28,12,55.86
2017,11,28,13,64.66
2017,11,28,14,84.93
2017,11,28,15,106.09
2017,11,28,16,131.55
2017,11,28,17,140.43
2017,11,28,18,145.98
2017,11,28,19,142.5
2017,11,28,20,132.23
2017,11,28,21,130.03
2017,11,28,23,105.54
2017,11,29,0,100.54
2017,11,29,1,99.35
2017,11,29,2,100.24
2017,11,29,3,112.24
2017,11,29,4,120.5
2017,11,29,5,115.52
2017,11,29,6,111.64
2017,11,29,7,86.75
2017,11,29,8,82.24
2017,11,29,9,72.02
2017,11,29,10,66.72
2017,11,29,11,60.44
2017,11,29,12,62.82
2017,11,29,13,75.25
2017,11,29,14,93.54
2017,11,29,15,110.29
2017,11,29,16,126.93
2017,11,29,17,135.73
2017,11,29,18,141.01
2017,11,29,19,145.62
2017,11,29,20,129.94
2017,11,29,21,108.56
2017,11,29,22,100.34
2017,11,29,23,100.48
2017,11,30,0,96.4
2017,11,30,1,98.14
2017,11,30,2,103.11
2017,11,30,3,110.62
2017,11,30,4,120.43
2017,11,30,5,121.27
2017,11,30,6,111.21
2017,11,30,7,100.26
2017,11,30,8,90.32
2017,11,30,9,78.51
2017,11,30,11,58.71
2017,11,30,12,63.62
2017,11,30,13,72.3
2017,11,30,14,94.81
2017,11,30,15,110.16
2017,11,30,16,116.57
2017,11,30,17,143.21
2017,11,30,19,133.7
2017,11,30,20,118.77
2017,11,30,21,114.57
2017,11,30,22,104.28
2017,11,30,23,102.18
